feature,importance
avg_pnl,0.32868528142819625
total_pnl,0.32633362267568145
win_rate,0.23128750966232117
short_trades,0.05365873296663481
n_trades,0.030179578915261872
max_drawdown,0.018834646822032848
long_trades,0.009473265981832072
Classification_Neutral,0.0005194773393278167
Classification_Fear,0.0004153412140242074
Classification_Extreme Greed,0.0003726848860155545
Classification_Greed,0.00023985810867179546
