Classification,mean_pnl,median_pnl,mean_win_rate,n_account_days
Extreme Fear,133.33141063636361,0.0,0.1734975079013033,33
Extreme Greed,10329.407817642857,108.9389965,0.33594482696281514,112
Fear,11332.647023273885,396.06272,0.3499088868218938,157
Greed,3191.7933645863873,147.445788,0.35311890287992775,191
Neutral,2017.7497832432434,87.752181,0.3125236995435063,37
