Coin,Classification,mean_pnl,win_rate,n_trades
BRETT,Extreme Greed,-20.326258813953487,0.0,43
BRETT,Fear,6.923826,1.0,1
BRETT,Greed,4.100245,0.5,8
BTC,Extreme Fear,39.15642580689655,0.27586206896551724,145
BTC,Extreme Greed,41.561424090909085,0.31974921630094044,319
BTC,Fear,54.15769057692307,0.3188259109311741,988
BTC,Greed,17.311808204315575,0.27714093054619016,1483
BTC,Neutral,26.565798251101324,0.3039647577092511,227
CAKE,Greed,39.9701685,1.0,4
CANTO,Neutral,-23.557016250000004,0.0,8
CHILLGUY,Extreme Fear,0.0,0.0,1
CHILLGUY,Extreme Greed,2.1008012000000003,0.4,10
CHILLGUY,Fear,41.275930249999995,0.75,12
CHILLGUY,Greed,1.7672576363636365,0.22727272727272727,22
CHILLGUY,Neutral,0.0,0.0,1
COMP,Greed,22.308836237288133,0.3898305084745763,59
CRV,Extreme Fear,0.49236022222222203,0.1388888888888889,36
CRV,Extreme Greed,-92.27877123076922,0.0,13
CRV,Fear,4.542741125,0.59375,32
CRV,Greed,15.92655380952381,0.5238095238095238,21
CYBER,Greed,191.5296,1.0,1
DOGE,Extreme Fear,0.0,0.0,1
DOGE,Extreme Greed,28.341659125000003,0.5416666666666666,24
DOGE,Fear,27.00480027777778,0.06944444444444445,72
DOGE,Greed,54.47180214917127,0.5303867403314917,181
DOGE,Neutral,8.947733333333334,0.6666666666666666,3
DOT,Extreme Greed,0.47231100000000004,0.5384615384615384,13
DOT,Fear,2.408776181818182,0.8181818181818182,11
DOT,Greed,3.690142,0.5185185185185185,27
DOT,Neutral,11.055354000000001,1.0,2
DYDX,Fear,8.084819176470589,0.3137254901960784,51
DYM,Extreme Fear,0.0,0.0,2
DYM,Greed,65.913975,0.5,2
DYM,Neutral,24.124212,0.2,10
EIGEN,Extreme Fear,0.0,0.0,1
EIGEN,Extreme Greed,10.962353423076923,0.4230769230769231,26
EIGEN,Fear,8.487547935483871,0.41935483870967744,31
EIGEN,Greed,2.1962335454545463,0.6363636363636364,11
EIGEN,Neutral,6.981011499999999,0.3,20
ENA,Extreme Fear,0.0,0.0,61
ENA,Extreme Greed,0.10147230434782609,0.08695652173913043,23
ENA,Fear,1616.4781267171716,0.7777777777777778,99
ENA,Greed,0.5562965294117648,0.35294117647058826,17
ENA,Neutral,0.26762754385964915,0.07017543859649122,57
